theta2,intensity,time
5.0,3122.0,1.0
5.02,3111.0,1.0
5.04,3107.0,1.0
5.06,3161.0,1.0
5.08,3120.0,1.0
5.1,3075.0,1.0
5.12,3054.0,1.0
5.14,3092.0,1.0
5.16,3078.0,1.0
5.18,3145.0,1.0
5.2,3126.0,1.0
5.22,3078.0,1.0
5.24,3083.0,1.0
5.26,3086.0,1.0
5.28,3025.0,1.0
5.3,3080.0,1.0
5.32,3048.0,1.0
5.34,3040.0,1.0
5.36,3111.0,1.0
5.38,3121.0,1.0
5.4,3014.0,1.0
5.42,3121.0,1.0
5.44,3068.0,1.0
5.46,3061.0,1.0
5.48,3165.0,1.0
5.5,3032.0,1.0
5.52,3095.0,1.0
5.54,3135.0,1.0
5.56,3005.0,1.0
5.58,3019.0,1.0
5.6,3068.0,1.0
5.62,3100.0,1.0
5.64,2957.0,1.0
5.66,2986.0,1.0
5.68,2994.0,1.0
5.7,3032.0,1.0
5.72,3066.0,1.0
5.74,3090.0,1.0
5.76,3086.0,1.0
5.78,3049.0,1.0
5.8,3001.0,1.0
5.82,3119.0,1.0
5.84,3052.0,1.0
5.86,2992.0,1.0
5.88,2971.0,1.0
5.9,2984.0,1.0
5.92,3009.0,1.0
5.94,2959.0,1.0
5.96,2852.0,1.0
5.98,2985.0,1.0
6.0,3004.0,1.0
6.02,2976.0,1.0
6.04,2965.0,1.0
6.06,2979.0,1.0
6.08,2946.0,1.0
6.1,2961.0,1.0
6.12,2996.0,1.0
6.14,2972.0,1.0
6.16,2969.0,1.0
6.18,2963.0,1.0
6.2,3014.0,1.0
6.22,3034.0,1.0
6.24,2988.0,1.0
6.26,2911.0,1.0
6.28,3009.0,1.0
6.3,3005.0,1.0
6.32,2980.0,1.0
6.34,2909.0,1.0
6.36,2895.0,1.0
6.38,2892.0,1.0
6.4,2989.0,1.0
6.42,2963.0,1.0
6.44,2834.0,1.0
6.46,3037.0,1.0
6.48,2989.0,1.0
6.5,2934.0,1.0
6.52,2838.0,1.0
6.54,2993.0,1.0
6.56,2978.0,1.0
6.58,2903.0,1.0
6.6,2967.0,1.0
6.62,2895.0,1.0
6.64,2965.0,1.0
6.66,2992.0,1.0
6.68,2936.0,1.0
6.7,2917.0,1.0
6.72,2882.0,1.0
6.74,2928.0,1.0
6.76,2916.0,1.0
6.78,2825.0,1.0
6.8,2858.0,1.0
6.82,2895.0,1.0
6.84,2881.0,1.0
6.86,2898.0,1.0
6.88,2883.0,1.0
6.9,2886.0,1.0
6.92,2898.0,1.0
6.94,2983.0,1.0
6.96,2882.0,1.0
6.98,2855.0,1.0
